center,left,right,steering_angle,accelerator,brake,speed
D:\self driving car\IMG\center_2024_01_28_12_18_29_217.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_29_217.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_29_217.jpg,0,1,0,30.19029
D:\self driving car\IMG\center_2024_01_28_12_18_29_283.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_29_283.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_29_283.jpg,-0.1,1,0,30.18766
D:\self driving car\IMG\center_2024_01_28_12_18_29_351.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_29_351.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_29_351.jpg,0,1,0,30.1909
D:\self driving car\IMG\center_2024_01_28_12_18_29_421.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_29_421.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_29_421.jpg,0,1,0,30.19029
D:\self driving car\IMG\center_2024_01_28_12_18_29_492.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_29_492.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_29_492.jpg,0,1,0,30.19026
D:\self driving car\IMG\center_2024_01_28_12_18_29_563.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_29_563.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_29_563.jpg,0,1,0,30.19029
D:\self driving car\IMG\center_2024_01_28_12_18_29_633.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_29_633.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_29_633.jpg,0,1,0,30.19028
D:\self driving car\IMG\center_2024_01_28_12_18_29_705.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_29_705.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_29_705.jpg,0,1,0,30.19028
D:\self driving car\IMG\center_2024_01_28_12_18_29_779.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_29_779.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_29_779.jpg,0,1,0,30.19029
D:\self driving car\IMG\center_2024_01_28_12_18_29_849.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_29_849.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_29_849.jpg,0,1,0,30.19026
D:\self driving car\IMG\center_2024_01_28_12_18_29_920.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_29_920.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_29_920.jpg,0,1,0,30.19029
D:\self driving car\IMG\center_2024_01_28_12_18_29_992.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_29_992.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_29_992.jpg,0,1,0,30.1903
D:\self driving car\IMG\center_2024_01_28_12_18_30_063.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_30_063.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_30_063.jpg,0,1,0,30.19029
D:\self driving car\IMG\center_2024_01_28_12_18_30_136.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_30_136.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_30_136.jpg,0,1,0,30.1903
D:\self driving car\IMG\center_2024_01_28_12_18_30_208.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_30_208.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_30_208.jpg,0,1,0,30.19029
D:\self driving car\IMG\center_2024_01_28_12_18_30_280.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_30_280.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_30_280.jpg,0,1,0,30.1903
D:\self driving car\IMG\center_2024_01_28_12_18_30_355.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_30_355.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_30_355.jpg,0,1,0,30.19029
D:\self driving car\IMG\center_2024_01_28_12_18_30_428.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_30_428.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_30_428.jpg,-0.2,1,0,30.17984
D:\self driving car\IMG\center_2024_01_28_12_18_30_495.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_30_495.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_30_495.jpg,0,1,0,30.18929
D:\self driving car\IMG\center_2024_01_28_12_18_30_567.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_30_567.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_30_567.jpg,0,1,0,30.19013
D:\self driving car\IMG\center_2024_01_28_12_18_30_637.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_30_637.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_30_637.jpg,0,1,0,30.19025
D:\self driving car\IMG\center_2024_01_28_12_18_30_703.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_30_703.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_30_703.jpg,0,1,0,30.1903
D:\self driving car\IMG\center_2024_01_28_12_18_30_775.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_30_775.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_30_775.jpg,0,1,0,30.19029
D:\self driving car\IMG\center_2024_01_28_12_18_30_849.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_30_849.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_30_849.jpg,0,1,0,30.19028
D:\self driving car\IMG\center_2024_01_28_12_18_30_921.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_30_921.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_30_921.jpg,0,1,0,30.19029
D:\self driving car\IMG\center_2024_01_28_12_18_30_993.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_30_993.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_30_993.jpg,0,1,0,30.1903
D:\self driving car\IMG\center_2024_01_28_12_18_31_064.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_31_064.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_31_064.jpg,0,1,0,30.19031
D:\self driving car\IMG\center_2024_01_28_12_18_31_132.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_31_132.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_31_132.jpg,0,1,0,30.19029
D:\self driving car\IMG\center_2024_01_28_12_18_31_205.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_31_205.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_31_205.jpg,0,1,0,30.19018
D:\self driving car\IMG\center_2024_01_28_12_18_31_277.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_31_277.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_31_277.jpg,0,1,0,30.19029
D:\self driving car\IMG\center_2024_01_28_12_18_31_346.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_31_346.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_31_346.jpg,0,1,0,30.19031
D:\self driving car\IMG\center_2024_01_28_12_18_31_420.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_31_420.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_31_420.jpg,-0.05,1,0,30.18963
D:\self driving car\IMG\center_2024_01_28_12_18_31_490.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_31_490.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_31_490.jpg,-0.2,1,0,30.17983
D:\self driving car\IMG\center_2024_01_28_12_18_31_565.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_31_565.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_31_565.jpg,0,1,0,30.19031
D:\self driving car\IMG\center_2024_01_28_12_18_31_636.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_31_636.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_31_636.jpg,0,1,0,30.19028
D:\self driving car\IMG\center_2024_01_28_12_18_31_709.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_31_709.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_31_709.jpg,0,1,0,30.19029
D:\self driving car\IMG\center_2024_01_28_12_18_31_781.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_31_781.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_31_781.jpg,0,1,0,30.19029
D:\self driving car\IMG\center_2024_01_28_12_18_31_851.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_31_851.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_31_851.jpg,0,1,0,30.1903
D:\self driving car\IMG\center_2024_01_28_12_18_31_924.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_31_924.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_31_924.jpg,0,1,0,30.1903
D:\self driving car\IMG\center_2024_01_28_12_18_31_995.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_31_995.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_31_995.jpg,-0.05,1,0,30.18971
D:\self driving car\IMG\center_2024_01_28_12_18_32_068.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_32_068.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_32_068.jpg,-0.25,1,0,30.17482
D:\self driving car\IMG\center_2024_01_28_12_18_32_136.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_32_136.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_32_136.jpg,0,1,0,30.19015
D:\self driving car\IMG\center_2024_01_28_12_18_32_210.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_32_210.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_32_210.jpg,0,1,0,30.19018
D:\self driving car\IMG\center_2024_01_28_12_18_32_284.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_32_284.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_32_284.jpg,0,1,0,30.19027
D:\self driving car\IMG\center_2024_01_28_12_18_32_357.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_32_357.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_32_357.jpg,0,1,0,30.19028
D:\self driving car\IMG\center_2024_01_28_12_18_32_425.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_32_425.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_32_425.jpg,0,1,0,30.19029
D:\self driving car\IMG\center_2024_01_28_12_18_32_496.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_32_496.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_32_496.jpg,0,1,0,30.19031
D:\self driving car\IMG\center_2024_01_28_12_18_32_569.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_32_569.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_32_569.jpg,0,1,0,30.19031
D:\self driving car\IMG\center_2024_01_28_12_18_32_636.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_32_636.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_32_636.jpg,0,1,0,30.19041
D:\self driving car\IMG\center_2024_01_28_12_18_32_705.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_32_705.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_32_705.jpg,-0.1,1,0,30.18768
D:\self driving car\IMG\center_2024_01_28_12_18_32_773.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_32_773.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_32_773.jpg,-0.25,1,0,30.17473
D:\self driving car\IMG\center_2024_01_28_12_18_32_843.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_32_843.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_32_843.jpg,0,1,0,30.19032
D:\self driving car\IMG\center_2024_01_28_12_18_32_917.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_32_917.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_32_917.jpg,0,1,0,30.19021
D:\self driving car\IMG\center_2024_01_28_12_18_32_989.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_32_989.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_32_989.jpg,0,1,0,30.19026
D:\self driving car\IMG\center_2024_01_28_12_18_33_062.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_33_062.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_33_062.jpg,0,1,0,30.1903
D:\self driving car\IMG\center_2024_01_28_12_18_33_132.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_33_132.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_33_132.jpg,-0.1,1,0,30.18795
D:\self driving car\IMG\center_2024_01_28_12_18_33_201.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_33_201.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_33_201.jpg,0,1,0,30.18614
D:\self driving car\IMG\center_2024_01_28_12_18_33_274.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_33_274.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_33_274.jpg,0,1,0,30.19012
D:\self driving car\IMG\center_2024_01_28_12_18_33_342.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_33_342.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_33_342.jpg,0,1,0,30.19023
D:\self driving car\IMG\center_2024_01_28_12_18_33_410.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_33_410.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_33_410.jpg,0,1,0,30.19028
D:\self driving car\IMG\center_2024_01_28_12_18_33_480.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_33_480.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_33_480.jpg,0,1,0,30.19031
D:\self driving car\IMG\center_2024_01_28_12_18_33_547.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_33_547.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_33_547.jpg,0,1,0,30.19026
D:\self driving car\IMG\center_2024_01_28_12_18_33_616.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_33_616.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_33_616.jpg,0,1,0,30.1903
D:\self driving car\IMG\center_2024_01_28_12_18_33_688.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_33_688.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_33_688.jpg,0,1,0,30.1903
D:\self driving car\IMG\center_2024_01_28_12_18_33_757.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_33_757.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_33_757.jpg,0,1,0,30.19029
D:\self driving car\IMG\center_2024_01_28_12_18_33_827.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_33_827.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_33_827.jpg,0,1,0,30.19029
D:\self driving car\IMG\center_2024_01_28_12_18_33_901.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_33_901.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_33_901.jpg,0,1,0,30.19034
D:\self driving car\IMG\center_2024_01_28_12_18_33_970.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_33_970.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_33_970.jpg,0,1,0,30.19031
D:\self driving car\IMG\center_2024_01_28_12_18_34_041.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_34_041.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_34_041.jpg,0,1,0,30.19029
D:\self driving car\IMG\center_2024_01_28_12_18_34_109.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_34_109.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_34_109.jpg,0,1,0,30.19032
D:\self driving car\IMG\center_2024_01_28_12_18_34_177.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_34_177.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_34_177.jpg,0,1,0,30.19029
D:\self driving car\IMG\center_2024_01_28_12_18_34_245.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_34_245.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_34_245.jpg,0,1,0,30.19043
D:\self driving car\IMG\center_2024_01_28_12_18_34_316.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_34_316.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_34_316.jpg,0,1,0,30.19031
D:\self driving car\IMG\center_2024_01_28_12_18_34_385.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_34_385.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_34_385.jpg,0,1,0,30.19034
D:\self driving car\IMG\center_2024_01_28_12_18_34_457.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_34_457.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_34_457.jpg,0,1,0,30.19032
D:\self driving car\IMG\center_2024_01_28_12_18_34_526.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_34_526.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_34_526.jpg,0,1,0,30.19031
D:\self driving car\IMG\center_2024_01_28_12_18_34_597.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_34_597.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_34_597.jpg,0,0.9054244,0,30.17501
D:\self driving car\IMG\center_2024_01_28_12_18_34_667.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_34_667.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_34_667.jpg,0,0.7185478,0,30.13444
D:\self driving car\IMG\center_2024_01_28_12_18_34_740.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_34_740.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_34_740.jpg,0,0.4773745,0,30.06445
D:\self driving car\IMG\center_2024_01_28_12_18_34_808.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_34_808.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_34_808.jpg,-0.05,0.2933971,0,30.02674
D:\self driving car\IMG\center_2024_01_28_12_18_34_878.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_34_878.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_34_878.jpg,-0.25,0.06116263,0,29.9134
D:\self driving car\IMG\center_2024_01_28_12_18_34_950.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_34_950.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_34_950.jpg,0,0,0,29.73712
D:\self driving car\IMG\center_2024_01_28_12_18_35_020.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_35_020.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_35_020.jpg,0,0,0,29.49708
D:\self driving car\IMG\center_2024_01_28_12_18_35_091.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_35_091.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_35_091.jpg,0,0.0468717,0,29.31884
D:\self driving car\IMG\center_2024_01_28_12_18_35_160.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_35_160.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_35_160.jpg,0,0.2776581,0,29.22137
D:\self driving car\IMG\center_2024_01_28_12_18_35_229.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_35_229.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_35_229.jpg,0,0.4601673,0,29.30104
D:\self driving car\IMG\center_2024_01_28_12_18_35_300.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_35_300.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_35_300.jpg,0,0.6960427,0,29.60674
D:\self driving car\IMG\center_2024_01_28_12_18_35_371.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_35_371.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_35_371.jpg,0,0.886309,0,29.99313
D:\self driving car\IMG\center_2024_01_28_12_18_35_446.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_35_446.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_35_446.jpg,0,1,0,30.18924
D:\self driving car\IMG\center_2024_01_28_12_18_35_517.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_35_517.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_35_517.jpg,0,1,0,30.19031
D:\self driving car\IMG\center_2024_01_28_12_18_35_587.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_35_587.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_35_587.jpg,0,1,0,30.19031
D:\self driving car\IMG\center_2024_01_28_12_18_35_658.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_35_658.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_35_658.jpg,0,1,0,30.19028
D:\self driving car\IMG\center_2024_01_28_12_18_35_727.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_35_727.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_35_727.jpg,0,1,0,30.1903
D:\self driving car\IMG\center_2024_01_28_12_18_35_798.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_35_798.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_35_798.jpg,0,1,0,30.19028
D:\self driving car\IMG\center_2024_01_28_12_18_35_867.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_35_867.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_35_867.jpg,-0.1,1,0,30.18766
D:\self driving car\IMG\center_2024_01_28_12_18_35_939.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_35_939.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_35_939.jpg,0,1,0,30.19106
D:\self driving car\IMG\center_2024_01_28_12_18_36_006.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_36_006.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_36_006.jpg,0,1,0,30.19013
D:\self driving car\IMG\center_2024_01_28_12_18_36_074.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_36_074.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_36_074.jpg,0,1,0,30.19024
D:\self driving car\IMG\center_2024_01_28_12_18_36_145.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_36_145.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_36_145.jpg,0,1,0,30.1903
D:\self driving car\IMG\center_2024_01_28_12_18_36_219.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_36_219.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_36_219.jpg,0,1,0,30.19026
D:\self driving car\IMG\center_2024_01_28_12_18_36_290.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_36_290.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_36_290.jpg,0,1,0,30.19033
D:\self driving car\IMG\center_2024_01_28_12_18_36_361.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_36_361.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_36_361.jpg,0,1,0,30.1903
D:\self driving car\IMG\center_2024_01_28_12_18_36_427.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_36_427.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_36_427.jpg,0,1,0,30.19032
D:\self driving car\IMG\center_2024_01_28_12_18_36_498.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_36_498.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_36_498.jpg,0,1,0,30.19031
D:\self driving car\IMG\center_2024_01_28_12_18_36_566.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_36_566.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_36_566.jpg,0,1,0,30.19032
D:\self driving car\IMG\center_2024_01_28_12_18_36_635.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_36_635.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_36_635.jpg,0,1,0,30.1903
D:\self driving car\IMG\center_2024_01_28_12_18_36_703.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_36_703.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_36_703.jpg,0,1,0,30.19029
D:\self driving car\IMG\center_2024_01_28_12_18_36_772.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_36_772.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_36_772.jpg,0,1,0,30.19033
D:\self driving car\IMG\center_2024_01_28_12_18_36_840.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_36_840.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_36_840.jpg,0,1,0,30.19029
D:\self driving car\IMG\center_2024_01_28_12_18_36_909.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_36_909.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_36_909.jpg,-0.05,1,0,30.18975
D:\self driving car\IMG\center_2024_01_28_12_18_36_979.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_36_979.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_36_979.jpg,-0.25,1,0,30.175
D:\self driving car\IMG\center_2024_01_28_12_18_37_050.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_37_050.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_37_050.jpg,0,1,0,30.18927
D:\self driving car\IMG\center_2024_01_28_12_18_37_125.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_37_125.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_37_125.jpg,0,1,0,30.19015
D:\self driving car\IMG\center_2024_01_28_12_18_37_195.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_37_195.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_37_195.jpg,0,1,0,30.19023
D:\self driving car\IMG\center_2024_01_28_12_18_37_265.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_37_265.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_37_265.jpg,-0.2,1,0,30.18082
D:\self driving car\IMG\center_2024_01_28_12_18_37_337.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_37_337.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_37_337.jpg,0,1,0,30.19048
D:\self driving car\IMG\center_2024_01_28_12_18_37_411.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_37_411.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_37_411.jpg,0,1,0,30.18979
D:\self driving car\IMG\center_2024_01_28_12_18_37_477.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_37_477.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_37_477.jpg,0,1,0,30.19021
D:\self driving car\IMG\center_2024_01_28_12_18_37_551.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_37_551.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_37_551.jpg,0,1,0,30.19026
D:\self driving car\IMG\center_2024_01_28_12_18_37_620.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_37_620.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_37_620.jpg,0,1,0,30.19031
D:\self driving car\IMG\center_2024_01_28_12_18_37_688.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_37_688.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_37_688.jpg,0,1,0,30.1903
D:\self driving car\IMG\center_2024_01_28_12_18_37_757.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_37_757.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_37_757.jpg,0,1,0,30.19031
D:\self driving car\IMG\center_2024_01_28_12_18_37_830.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_37_830.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_37_830.jpg,0,1,0,30.19031
D:\self driving car\IMG\center_2024_01_28_12_18_37_898.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_37_898.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_37_898.jpg,-0.2,1,0,30.17986
D:\self driving car\IMG\center_2024_01_28_12_18_37_968.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_37_968.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_37_968.jpg,0,1,0,30.19109
D:\self driving car\IMG\center_2024_01_28_12_18_38_041.jpg,D:\self driving car\IMG\left_2024_01_28_12_18_38_041.jpg,D:\self driving car\IMG\right_2024_01_28_12_18_38_041.jpg,0,1,0,30.19018
